unix_ts,real_ts,HR,Ax,Ay,Az
1472639268,2016/08/31-19:27:48,0,-3.8596229553222656,-1.2921242713928223,8.86780071258545
1472639269,2016/08/31-19:27:49,0,-3.7878382205963135,-1.3663017749786377,8.93240737915039
1472639270,2016/08/31-19:27:50,0,-4.5583271980285645,-2.6009981632232666,6.776473522186279
1472639271,2016/08/31-19:27:51,0,-7.992027282714844,-2.1990041732788086,5.489135265350342
1472639272,2016/08/31-19:27:52,0,-1.8065810203552246,1.1198409795761108,9.80100154876709
1472639273,2016/08/31-19:27:53,0,-2.878565788269043,1.325623631477356,9.377471923828125
1472639274,2016/08/31-19:27:54,0,-2.9766712188720703,1.5649060010910034,9.253045082092285
1472639275,2016/08/31-19:27:55,0,-2.9312076568603516,1.3040882349014282,9.363115310668945
1472639276,2016/08/31-19:27:56,0,-0.5216353535652161,-0.6652047038078308,9.836893081665039
1472639277,2016/08/31-19:27:57,0,-14.411970138549805,-6.453442573547363,0.7489535212516785
1472639278,2016/08/31-19:27:58,0,-12.636495590209961,-3.1034913063049316,-0.07896314561367035
1472639279,2016/08/31-19:27:59,0,-14.306686401367188,0.8733802437782288,1.9142580032348633
1472639280,2016/08/31-19:28:00,0,0.7992027401924133,5.639883518218994,8.456235885620117
1472639281,2016/08/31-19:28:01,0,0.6436693072319031,4.759324073791504,8.695517539978027
1472639282,2016/08/31-19:28:02,0,0.5072783827781677,4.620540142059326,8.968299865722656
1472639283,2016/08/31-19:28:03,0,-5.723631858825684,8.0350980758667,0.8111668825149536
1472639284,2016/08/31-19:28:04,0,-5.592026710510254,5.5345988273620605,2.6847469806671143
1472639285,2016/08/31-19:28:05,0,0.0813559740781784,-1.0193424224853516,9.657432556152344
1472639286,2016/08/31-19:28:06,0,-1.495514154434204,0.29431718587875366,8.86780071258545
1472639287,2016/08/31-19:28:07,0,-2.3162522315979004,0.44745784997940063,9.789037704467773
1472639288,2016/08/31-19:28:08,0,-1.8616160154342651,0.784845769405365,9.329615592956543
1472639289,2016/08/31-19:28:09,0,-1.9645073413848877,0.41874396800994873,9.604789733886719
1472639290,2016/08/31-19:28:10,0,-4.49132776260376,0.9236294627189636,8.456235885620117
1472639291,2016/08/31-19:28:11,0,-4.486542701721191,-0.011964112520217896,8.63330364227295
1472639292,2016/08/31-19:28:12,99,-3.146562099456787,1.2251251935958862,9.052047729492188
1472639293,2016/08/31-19:28:13,98,-12.397214889526367,-1.6845470666885376,4.084547996520996
1472639294,2016/08/31-19:28:14,99,-8.185846328735352,-3.1585259437561035,4.204189300537109
1472639295,2016/08/31-19:28:15,99,-13.612768173217773,-2.0027925968170166,2.878565788269043
1472639296,2016/08/31-19:28:16,99,-12.356535911560059,-0.8207381367683411,1.8903299570083618
1472639297,2016/08/31-19:28:17,99,-7.573283672332764,0.4977070987224579,1.5481561422348022
1472639298,2016/08/31-19:28:18,101,-10.88016414642334,-0.4785645008087158,1.2921242713928223
1472639299,2016/08/31-19:28:19,102,-16.778470993041992,-1.998006820678711,-2.4287149906158447
1472639300,2016/08/31-19:28:20,102,-9.083154678344727,-2.227717876434326,0.5910272002220154
1472639301,2016/08/31-19:28:21,103,-10.77727222442627,-2.6847469806671143,1.0241280794143677
1472639302,2016/08/31-19:28:22,103,-14.701501846313477,-2.1535403728485107,-1.5242280960083008
